distributor,genre,release_time,screening_rat,director,box_off_num
CJ 엔터테인먼트,코미디,2015-09-24,3,김정훈,2625686
영구아트무비,코미디,2010-12-29,2,심형래,2541603
(주)NEW,드라마,2012-12-19,3,정기훈,2475797
필라멘트 픽쳐스,미스터리,2012-03-08,3,변영주,2436884
롯데엔터테인먼트,공포,2012-08-22,4,김휘,2434435
(주)쇼박스,드라마,2011-09-29,3,손영성,2393103
이십세기폭스코리아(주),코미디,2015-05-21,3,폴 페이그,2318748
싸이더스,공포,2010-05-13,4,임상수,2267579
(주)쇼박스,느와르,2010-12-22,4,나홍진,2260512
CJ E&M 영화부문,SF,2011-08-04,3,김지훈,2242510
롯데엔터테인먼트,애니메이션,2011-07-28,1,오성윤,2202788
CJ 엔터테인먼트,느와르,2015-05-14,3,백운학,2192525
(주)쇼박스,액션,2015-01-21,4,유하,2192276
씨네그루(주)키다리이엔티,멜로/로맨스,2014-10-08,3,임찬상,2141155
(주)NEW,SF,2010-11-10,3,김민석,2130645
(주)쇼박스,느와르,2015-12-31,4,우민호,2084844
(주)NEW,멜로/로맨스,2015-08-20,2,백종열,2057896
(주)NEW,드라마,2014-01-22,3,한동욱,1980050
CJ 엔터테인먼트,멜로/로맨스,2015-01-14,3,박진표,1892125
CJ 엔터테인먼트,드라마,2012-05-03,2,문현성,1872682
롯데엔터테인먼트,느와르,2011-02-17,3,이규만,1867849
롯데엔터테인먼트,멜로/로맨스,2013-03-21,4,노덕,1865354
CJ 엔터테인먼트,드라마,2013-12-11,3,방은진,1854711
(주)쇼박스,느와르,2010-08-12,4,김지운,1817069
CJ 엔터테인먼트,공포,2013-10-24,3,국동석,1766285
(주)NEW,드라마,2015-12-16,2,박훈정,1762733
메가박스(주)플러스엠,드라마,2014-10-02,2,임순례,1755181
CJ 엔터테인먼트,액션,2013-04-10,4,강우석,1744585
NEW,멜로/로맨스,2012-02-29,3,전계수,1726227
롯데엔터테인먼트,코미디,2011-01-27,2,이준익,1717566
(주)쇼박스,드라마,2013-03-14,3,윤종찬,1716438
CJ 엔터테인먼트,멜로/로맨스,2015-02-05,3,김현석,1715370
롯데엔터테인먼트,코미디,2014-01-22,3,이연우,1676040
(주)NEW,드라마,2011-02-17,3,추창민,1649407
씨너스엔터테인먼트(주),느와르,2012-08-29,4,김홍선,1646142
CJ 엔터테인먼트,드라마,2014-09-03,2,이재용,1624573
CJ 엔터테인먼트,느와르,2012-02-16,3,유하,1612554
(주)NEW,액션,2015-10-22,3,김봉주,1596762
CJ 엔터테인먼트,액션,2010-09-16,3,송해성,1546132
롯데엔터테인먼트,드라마,2011-12-21,2,박희곤,1507084
(주)NEW,드라마,2014-08-13,4,심성보,1475091
CGV아트하우스,느와르,2015-04-29,4,한준희,1472147
NEW,드라마,2014-05-14,4,김대우,1441990
이십세기폭스코리아(주),액션,2013-04-04,3,조동오,1422844
SK텔레콤(주),드라마,2010-04-28,3,이준익,1383867
CJ 엔터테인먼트,코미디,2012-05-30,3,신태라,1346754
(주)쇼박스,드라마,2013-07-17,2,김용화,1329061
롯데엔터테인먼트,드라마,2012-09-20,3,우민호,1310895
씨너스엔터테인먼트(주),멜로/로맨스,2013-11-21,3,홍지영,1214839
전망좋은영화사,느와르,2010-03-18,3,강효진,1214237
CJ 엔터테인먼트,드라마,2013-10-02,3,안권태,1209363
롯데엔터테인먼트,공포,2010-10-14,4,김상만,1208310
주머니필름,액션,2012-08-15,3,김동원,1201944
CJ 엔터테인먼트,공포,2013-06-27,3,김용균,1201033
(주)NEW,액션,2014-11-26,3,최호,1177435
이십세기폭스코리아(주),드라마,2014-10-02,2,김영탁,1169546
시너지,드라마,2012-05-17,4,임상수,1166025
CJ 엔터테인먼트,드라마,2013-05-09,3,송해성,1141222
CJ 엔터테인먼트,느와르,2015-10-08,3,허종호,1131154
CJ 엔터테인먼트,멜로/로맨스,2010-12-08,2,장유정,1122225
롯데엔터테인먼트,액션,2011-11-24,3,황병국,1118258
(주)쇼박스,액션,2012-10-11,4,임상윤,1110523
CGV 아트하우스,공포,2015-10-28,3,윤준형,1046313
(주)쇼박스,멜로/로맨스,2011-10-20,3,송일곤,1027782
롯데엔터테인먼트,드라마,2011-01-05,3,윤재근,1025243
시너지,공포,2010-07-01,4,우민호,1012310
(주)쇼박스,드라마,2012-01-05,3,권칠인,986287
롯데엔터테인먼트,코미디,2013-05-01,2,이종필,978413
시너지,코미디,2010-09-30,2,육상효,972431
(주)쇼박스,코미디,2014-10-23,2,장진,970377
(주)NEW,드라마,2015-01-14,2,하정우,956103
(주)NEW,코미디,2012-10-03,3,신정원,953682
CJ 엔터테인먼트,공포,2013-11-28,3,김현석,870785
(주)쇼박스,공포,2012-05-30,3,김태경,867386
NEW,공포,2010-07-28,3,유선동,857038
보람엔터테인먼트,드라마,2011-02-17,3,김태용,849635
CJ 엔터테인먼트,SF,2015-07-09,3,김광태,828029
리틀빅픽처스,드라마,2014-11-13,2,부지영,814570
CJ E&M Pictures,공포,2011-06-09,3,김곡,790959
(주)쇼박스,드라마,2014-12-24,3,이원석,790370
롯데엔터테인먼트,드라마,2012-08-08,2,장규성,790181
롯데엔터테인먼트,드라마,2014-02-13,4,권칠인,781516
스튜디오 블루,드라마,2011-08-31,3,이현승,771699
CJ 엔터테인먼트,공포,2013-11-14,4,정연식,731212
시네마서비스,코미디,2010-01-21,3,김상진,729834
(주)NEW,드라마,2011-06-23,4,전재홍,714136
롯데엔터테인먼트,드라마,2011-09-07,3,곽경택,700272
롯데엔터테인먼트,드라마,2010-07-21,1,이정철,696382
(주)JK필름,코미디,2010-05-20,3,김광식,688639
(주)NEW,공포,2011-07-07,3,변승욱,672340
(주)NEW,드라마,2015-11-25,3,정기훈,654407
롯데엔터테인먼트,코미디,2014-01-09,3,성시흡,635744
롯데엔터테인먼트,드라마,2015-12-30,2,김대승,627586
롯데엔터테인먼트,공포,2015-10-22,3,노덕,616481
NEW,코미디,2012-06-21,3,박철관,611685
롯데엔터테인먼트,액션,2015-09-24,2,천성일,609063
(주)NEW,드라마,2012-09-06,4,김기덕,603283
KT,코미디,2010-11-24,3,손재곤,596864
시네마서비스,코미디,2010-09-16,3,장진,573001
롯데엔터테인먼트,멜로/로맨스,2011-11-10,2,김병곤,543313
(주)쇼박스,드라마,2011-09-07,2,이환경,535657
롯데엔터테인먼트,공포,2014-03-13,4,황인호,526547
(주)쇼박스,멜로/로맨스,2013-02-14,3,이원석,507913
OAL(올),드라마,2014-02-06,2,김태윤,497994
롯데엔터테인먼트,코미디,2012-06-21,3,정승구,497880
쇼박스(주)미디어플렉스,코미디,2010-11-04,3,신근호,483387
리틀빅픽쳐스,공포,2014-07-02,3,오인천,481707
싸이더스,애니메이션,2014-01-29,1,피터 레페니오티스,479280
롯데엔터테인먼트,멜로/로맨스,2015-04-29,3,김진영,472695
싸이더스 FNH,드라마,2010-04-22,1,유성엽,472009
NEW,액션,2011-09-29,4,허종호,471547
CJ 엔터테인먼트,멜로/로맨스,2014-10-02,4,임필성,471248
CJ 엔터테인먼트,드라마,2015-03-05,4,안상훈,470308
시너지,드라마,2012-01-18,2,김달중,467697
롯데엔터테인먼트,드라마,2010-01-28,1,백동훈,462714
(주)NEW,애니메이션,2015-12-10,1,박영균,446054
(주)마운틴픽쳐스,다큐멘터리,2010-09-09,1,구수환,444327
리틀빅픽처스,공포,2015-09-03,3,홍원찬,441208
롯데엔터테인먼트,액션,2015-08-13,3,박흥식,431310
(주)마인스 엔터테인먼트,느와르,2013-11-28,4,이덕희,429141
롯데엔터테인먼트,미스터리,2012-07-12,3,김동빈,426706
(주)마운틴픽쳐스,드라마,2014-02-13,3,김진무,424778
롯데엔터테인먼트,멜로/로맨스,2011-03-10,3,정우철,402876
(주)리틀빅픽처스,드라마,2015-01-28,3,문제용,387408
롯데엔터테인먼트,드라마,2014-10-30,3,이해준,386074
시네마서비스,드라마,2015-06-24,3,김성제,383582
롯데엔터테인먼트,미스터리,2015-06-18,3,이해영,356436
판씨네마(주),액션,2015-08-27,3,신재호,346483
롯데엔터테인먼트,드라마,2013-05-16,1,정익환,334323
CGV 아트하우스,멜로/로맨스,2015-12-03,4,하기호,321641
CJ 엔터테인먼트,드라마,2015-11-25,2,이종필,317505
(주)프레인글로벌,멜로/로맨스,2014-10-23,3,박범수,316955
CJ 엔터테인먼트,드라마,2011-03-24,3,허인무,313953
리틀빅픽처스,드라마,2014-12-31,1,김성호,306642
CJ 엔터테인먼트,애니메이션,2015-04-30,1,최윤석,285084
화앤담이엔티,멜로/로맨스,2012-01-18,3,정용주,283449
시네마서비스,미스터리,2012-03-15,3,장윤현,270602
인벤트 디,공포,2015-09-10,4,권형진,257996
CGV아트하우스,공포,2015-03-12,3,홍석재,251551
롯데엔터테인먼트,코미디,2012-10-25,3,육상효,233211
시너지,공포,2010-08-19,3,이철하,225955
무비꼴라쥬,드라마,2014-04-17,4,이수진,225839
롯데엔터테인먼트,느와르,2013-02-21,4,박명랑,225618
(주)NEW,드라마,2010-05-13,3,이창동,218898
(주)NEW,코미디,2012-07-12,1,구자홍,217866
시너지,드라마,2011-10-06,1,김상진,210970
롯데엔터테인먼트,코미디,2014-12-04,3,전형준,210775
롯데엔터테인먼트,코미디,2012-11-15,3,배형준,210278
시너지,코미디,2010-11-18,4,이해영,196995
인벤트 디,액션,2013-10-30,4,신재호,192347
메가박스(주)플러스엠,드라마,2014-11-20,2,김덕수,172652
인벤트 디,드라마,2013-04-18,4,최승호,169064
KT,드라마,2010-09-16,2,양윤호,167024
시너지,멜로/로맨스,2010-03-25,4,류훈,164252
(주)NEW,느와르,2010-03-18,4,김철한,160734
스토리셋,다큐멘터리,2010-01-14,2,김종철,155281
메가박스(주)플러스엠,코미디,2015-01-07,4,정범식,151550
싸이더스,드라마,2010-01-14,1,권형진,143458
리틀빅픽쳐스,드라마,2015-04-09,4,임권택,142609
인벤트 디,서스펜스,2014-04-10,4,김태균,142170
롯데엔터테인먼트,공포,2014-10-08,4,신재영,133665
롯데엔터테인먼트,공포,2010-08-26,4,조원희,130784
CJ 엔터테인먼트,멜로/로맨스,2010-11-18,4,정윤수,129576
씨네그루(주)키다리이엔티,공포,2015-08-20,3,김휘,120806
(주)NEW,드라마,2013-10-24,4,신연식,112029
CJ 엔터테인먼트,코미디,2012-07-19,3,김익로,104736
CJ 엔터테인먼트,코미디,2010-05-27,3,계윤식,101698
필라멘트 픽쳐스,드라마,2015-10-22,2,권오광,100543
(주)이스트스카이필름,공포,2011-08-05,4,고석진,96992
필라멘트 픽쳐스,코미디,2012-08-30,3,이근우,96080
롯데엔터테인먼트,멜로/로맨스,2010-10-28,4,주경중,94875
CJ E&M 영화부문,드라마,2012-11-22,2,윤학렬,92404
타임스토리그룹,코미디,2011-11-17,4,박헌수,90370
BoXoo 엔터테인먼트,공포,2014-08-20,3,박규택,81008
(주)NEW,드라마,2015-09-24,4,홍상수,80734
시너지,멜로/로맨스,2010-10-21,4,권칠인,75740
시너지,드라마,2011-11-03,2,라희찬,74261
시네마서비스,드라마,2011-03-24,2,장진,73729
CJ 엔터테인먼트,애니메이션,2014-10-02,1,박태동,72052
(주) 영화제작전원사,드라마,2013-09-12,4,홍상수,69122
(주)마인스 엔터테인먼트,공포,2013-06-20,4,김성홍,68312
인벤트 디,드라마,2014-06-12,3,장률,63517
SBS콘텐츠허브,액션,2011-05-26,4,조운,61414
화앤담이엔티,드라마,2011-12-07,3,박중구,60944
전주국제영화제,드라마,2011-03-17,3,임권택,57261
스폰지,드라마,2010-05-05,4,홍상수,57029
리틀빅픽처스,애니메이션,2015-07-29,1,최경석,56105
백두대간,다큐멘터리,2013-05-23,1,이창재,53526
(주)에이원 엔터테인먼트,애니메이션,2011-06-23,1,안재훈,53235
오퍼스픽쳐스,멜로/로맨스,2010-04-01,4,조창호,51760
(주)쇼박스,드라마,2015-10-28,3,전윤수,51207
영화사 진진,코미디,2012-06-21,3,김조광수,51120
시네마달,다큐멘터리,2014-10-23,3,이상호,50308
시네마달,다큐멘터리,2014-10-23,3,이상호,50308
나이너스엔터테인먼트(주),드라마,2013-05-30,2,남택수,47105
(주) 영화사조제,드라마,2011-09-08,4,홍상수,46212
나이너스엔터테인먼트(주),드라마,2015-04-23,3,조치언,44216
CGV아트하우스,드라마,2015-08-13,4,안국진,44074
KT,액션,2011-02-24,3,박훈정,43947
THE 픽쳐스,다큐멘터리,2014-11-20,1,권혁만,42337
어뮤즈,다큐멘터리,2011-10-27,1,김봉곤,39916
골든타이드픽처스,다큐멘터리,2012-10-18,1,손석,39577
(주) 영화제작전원사,드라마,2014-09-04,4,홍상수,39317
롯데엔터테인먼트,멜로/로맨스,2013-04-04,4,민규동,38809
필라멘트 픽쳐스,다큐멘터리,2014-12-04,2,이창재,38771
(주)마인스 엔터테인먼트,코미디,2014-04-03,3,김명균,37909
스폰지,드라마,2010-09-16,4,홍상수,37122
인디스토리,드라마,2015-06-11,1,장건재,36841
(주)엣나인필름,다큐멘터리,2014-03-06,3,박찬경,36535
디 씨드,다큐멘터리,2015-08-13,1,배성상,35857
롯데엔터테인먼트,애니메이션,2011-03-24,1,임상준,35578
이달투,애니메이션,2014-08-21,1,안재훈,35567
(주)NEW,드라마,2013-09-05,4,김기덕,35348
(주)NEW,드라마,2012-10-31,3,구혜선,33902
(주) 영화제작전원사,드라마,2012-05-31,4,홍상수,31101
에스피엠,다큐멘터리,2010-04-01,1,신현원,29668
무비꼴라쥬,다큐멘터리,2013-11-28,2,이호재,29478
CJ 엔터테인먼트,드라마,2010-01-14,2,신연식,27083
롯데엔터테인먼트,애니메이션,2014-12-18,1,이종현,25391
필라멘트 픽쳐스,드라마,2014-11-13,2,김태용,24020
에이원 엔터테인먼트,애니메이션,2014-05-22,2,구봉회,23802
롯데엔터테인먼트,액션,2012-11-22,4,조병옥,23398
CJ 엔터테인먼트,드라마,2010-04-15,4,이재한,23229
(주)팝 파트너스,서스펜스,2013-09-25,4,한종훈,23052
NEW,애니메이션,2013-11-21,4,연상호,22525
메가박스(주)플러스엠,애니메이션,2014-08-07,1,방형우,21939
(주)시네마달,다큐멘터리,2015-12-03,2,김진열,21576
인디스토리,다큐멘터리,2014-09-18,2,박사유,21483
(주)아우라픽처스,다큐멘터리,2013-09-05,2,백승우,21317
(주)마인스엔터테인먼트,멜로/로맨스,2012-09-06,3,신재호,21295
CGV아트하우스,다큐멘터리,2014-11-06,1,임유철,21002
(주)마운틴픽쳐스,멜로/로맨스,2013-11-21,2,김진민,20303
영화사 조아,멜로/로맨스,2012-03-22,1,이승준,20081
KT&G 상상마당,애니메이션,2011-11-03,4,연상호,19896
CJ 엔터테인먼트,드라마,2013-06-20,2,오기환,18343
씨너스엔터테인먼트(주),드라마,2014-06-12,3,조세래,18061
(주)마운틴픽쳐스,다큐멘터리,2011-04-21,1,강성옥,17912
조이앤시네마,멜로/로맨스,2015-03-19,4,김태식,17444
무비꼴라쥬,액션,2013-11-14,3,엄태화,17341
싸이더스FNH,드라마,2013-07-11,3,신수원,16866
SK플래닛,뮤지컬,2011-11-17,1,정성복,16323
파이오니아21,다큐멘터리,2015-08-13,1,김상철,16248
롯데엔터테인먼트,드라마,2010-11-03,3,임순례,16096
파이오니아21,다큐멘터리,2010-07-29,1,김상철,15687
영화사 진진,다큐멘터리,2013-11-28,1,이철하,15530
스튜디오후크,드라마,2014-11-20,4,조근현,14780
(주)엣나인필름,드라마,2013-04-18,4,이지승,14537
씨너스엔터테인먼트(주),코미디,2013-08-29,4,봉만대,14188
CJ 엔터테인먼트,드라마,2013-07-04,3,민백두,13886
(주)프레인글로벌,다큐멘터리,2014-08-06,1,전성우,13538
인디스토리,애니메이션,2012-07-25,2,이대희,13429
조이앤컨텐츠그룹,멜로/로맨스,2015-01-29,4,이수성,13240
CJ 엔터테인먼트,미스터리,2014-03-06,3,노영석,13190
(주)리틀빅픽처스,애니메이션,2015-10-08,1,김대창,13113
CJ 엔터테인먼트,공포,2010-06-10,3,김조광수,13108
나이너스엔터테인먼트(주),드라마,2014-04-16,2,이장호,12950
(주) 영화사조제,SF,2011-02-17,1,신재호,12696
인디스토리,다큐멘터리,2011-11-17,1,윤기형,12486
와이드 릴리즈(주),드라마,2015-07-16,1,주호성,12457
더 피플,다큐멘터리,2011-06-02,2,김재환,12341
(주)마인스엔터테인먼트,드라마,2012-11-15,3,조성규,11969
에스피엠,다큐멘터리,2013-03-21,2,신현원,11666
(주)스톰픽쳐스코리아,공포,2015-04-16,4,박재식,11650
골든타이드픽처스,다큐멘터리,2014-08-14,1,김진만,11263
영화사 진진,드라마,2011-04-14,3,박정범,11260
시네마 달,다큐멘터리,2013-03-28,1,지율스님,10942
새인컴퍼니,코미디,2010-05-27,3,김호준,10449
SBS콘텐츠허브,다큐멘터리,2011-02-17,1,장경수,10203
김기덕 필름,드라마,2014-05-22,4,김기덕,10142
더픽쳐스/(주)마운틴픽쳐스,드라마,2015-11-26,4,김진홍,9566
(주)키노아이,다큐멘터리,2011-05-12,1,임성구,9438
(주)유비콘텐츠,SF,2015-12-10,3,허은희,9323
인디플러그,다큐멘터리,2014-07-03,2,이조훈,9301
(주)엣나인필름,드라마,2014-08-28,4,이송희일,9272
CJ CGV,멜로/로맨스,2010-03-25,3,최원섭,9089
(주)팝엔터테인먼트,멜로/로맨스,2013-10-30,4,이수성,8923
(주)NEW,다큐멘터리,2015-05-07,2,정세교,8897
(주)예지림 엔터테인먼트,멜로/로맨스,2011-11-17,4,이영미,8757
스튜디오 느림보,다큐멘터리,2013-05-23,1,강석필,8695
롯데엔터테인먼트,다큐멘터리,2015-09-03,1,임성구,8567
골든타이드픽처스,뮤지컬,2013-10-31,1,손석,8083
KBS미디어(주),다큐멘터리,2014-04-17,1,최필곤,7956
(주)키노아이,드라마,2010-10-28,2,유상헌,7908
BoXoo 엔터테인먼트,공포,2014-09-25,4,김석정,7721
스크린조이,멜로/로맨스,2014-05-22,4,이숭환,7448
(주)팝엔터테인먼트,애니메이션,2015-11-19,1,문제대,7408
영화사 廊,드라마,2012-12-06,3,김성훈,7173
영화사 진진,다큐멘터리,2014-07-17,3,정윤석,6389
(주)로드하우스,멜로/로맨스,2015-04-02,4,기대호,6226
(주)마운틴픽쳐스,미스터리,2013-11-07,4,임경수,6085
(주) 브릿지웍스,코미디,2013-09-05,4,정초신,6054
(주)키노아이,코미디,2010-05-20,1,김태식,6034
KT&G 상상마당,드라마,2013-09-19,3,신연식,5992
(주)키노아이,드라마,2012-03-22,2,최종태,5851
시네마달,다큐멘터리,2014-03-06,2,홍리경,5808
CGV 무비꼴라쥬,드라마,2012-04-05,1,린슈유,5693
KT&G 상상마당,다큐멘터리,2015-04-23,1,이길보라,5648
어뮤즈,드라마,2010-12-02,4,송정우,5322
필라멘트 픽쳐스,드라마,2013-02-28,2,이재용,5317
(주)대명문화공장,드라마,2015-10-29,4,김동명,5212
인디플러그,드라마,2013-12-19,3,이성규,5105
필름라인,공포,2013-11-28,4,최위안,5100
시네마달,다큐멘터리,2013-08-15,1,권효,5014
인디스토리,드라마,2013-11-07,3,이성은,4941
유니버설픽쳐스인터내셔널코리아,뮤지컬,2014-09-18,1,정성복,4778
시네마달,다큐멘터리,2014-05-15,2,태준식,4766
(주)스톰픽쳐스코리아,멜로/로맨스,2015-11-12,4,김인식,4746
인디플러그,다큐멘터리,2010-12-02,1,정흠문,4746
타임스토리그룹,애니메이션,2011-08-18,1,이정인,4586
영화사 진진,다큐멘터리,2015-06-04,2,장희선,4586
마노엔터테인먼트,드라마,2013-12-26,2,김재수,4550
KT&G 상상마당,드라마,2015-02-12,3,이광국,4486
타임스토리그룹,SF,2015-03-26,2,이항배,4449
리틀빅픽처스,드라마,2015-05-21,4,박정범,4398
인디스토리,다큐멘터리,2014-04-24,2,홍재희,4343
시네마 달,다큐멘터리,2011-01-13,3,정호현,4340
(주)패스파인더씨앤씨,미스터리,2014-08-14,4,손영국,4122
상구네 필름,다큐멘터리,2011-05-12,1,김태일,4092
인벤트 디,느와르,2014-01-16,4,박형우,3996
김기덕 필름,드라마,2013-11-06,3,이주형,3916
어뮤즈,드라마,2014-11-06,3,구혜선,3789
BoXoo 엔터테인먼트,멜로/로맨스,2014-03-27,4,도창훈,3772
인디스토리,드라마,2012-03-01,4,김경묵,3694
씨네그루(주)키다리이엔티,드라마,2012-03-08,3,이광국,3591
스폰지,드라마,2010-02-18,4,임우성,3536
에이블엔터테인먼트,멜로/로맨스,2014-04-10,4,김봉은,3534
트리필름,드라마,2014-04-10,2,전규환,3523
(주)팝엔터테인먼트,드라마,2013-08-29,4,한상희,3460
프리비젼 엔터테인먼트,멜로/로맨스,2010-11-04,2,김기훈,3436
인디스토리,드라마,2013-02-21,3,김태곤,3404
미라클 필름,다큐멘터리,2015-01-15,1,허철,3399
무비꼴라쥬,드라마,2014-04-03,4,김정훈,3333
인디스토리,드라마,2012-01-12,3,신아가,3223
롯데엔터테인먼트,미스터리,2014-05-29,3,김성수,3199
홀리가든,드라마,2013-06-06,3,정하린,3177
케이엠스타,드라마,2010-05-20,1,장태령,3099
콘텐츠판다,드라마,2015-09-10,4,손승웅,3094
(주) 영화사조제,뮤지컬,2011-06-09,2,신춘수,3089
CJ 엔터테인먼트,드라마,2014-10-30,3,추상록,3060
시네마달,다큐멘터리,2015-07-16,3,박배일,3044
시네마달,다큐멘터리,2015-02-05,2,김형주,2972
(주)키노아이,다큐멘터리,2011-03-03,1,양영희,2969
KT&G 상상마당,다큐멘터리,2014-01-30,1,박문칠,2951
(주)레인보우 팩토리,드라마,2014-07-03,4,김조광수,2923
시네마달,드라마,2012-11-15,4,이송희일,2919
(주) 케이알씨지,드라마,2010-02-04,3,에밀리오 에스테베즈,2821
인디스토리,공포,2010-02-18,3,류훈,2807
(주)미디어데이,멜로/로맨스,2013-12-26,3,박은형,2802
인디스토리,다큐멘터리,2014-12-11,4,정용택,2788
인디스토리,드라마,2010-11-18,2,신수원,2775
인디스토리,다큐멘터리,2010-04-22,3,백승화,2732
(주) 케이알씨지,멜로/로맨스,2014-06-19,4,전태윤,2729
영화사 진진,드라마,2014-09-04,2,오멸,2703
인벤트 디,멜로/로맨스,2014-02-27,4,유정환,2673
(주) 브릿지웍스,코미디,2014-10-16,4,New Pistol,2595
인디스토리,드라마,2010-09-16,3,박동훈,2493
(주)마운틴픽쳐스,공포,2010-09-30,4,김대현,2475
인디스토리,드라마,2011-03-17,3,장률,2429
시네마 달,다큐멘터리,2010-09-09,1,권우정,2418
드림팩트 엔터테인먼트,코미디,2015-05-21,3,김기영,2410
(주)마운틴픽쳐스,드라마,2014-11-20,3,서호빈,2386
인디스토리,다큐멘터리,2013-04-03,3,임흥순,2344
머스트 씨 무비,애니메이션,2014-07-17,2,안도 마사히로,2329
(주)시네마달,다큐멘터리,2012-02-09,3,지민,2296
인디스토리,드라마,2013-05-30,4,장건재,2270
어뮤즈,드라마,2013-03-14,2,장희철,2186
인디스토리,다큐멘터리,2013-12-12,1,장률,2178
(주) 영화사조제,드라마,2011-06-30,2,윤성호,2155
(주) 브릿지웍스,멜로/로맨스,2014-08-27,4,김명서,2146
KT&G 상상마당,드라마,2010-05-04,4,민용근,2124
시네마 달,다큐멘터리,2012-04-26,3,경순,2119
(주)엣나인필름,코미디,2014-08-07,4,백승기,2117
노바엔터테인먼트,멜로/로맨스,2014-09-17,4,한동호,2070
(주)마운틴픽쳐스,코미디,2014-03-20,4,노진수,1958
홀리가든,다큐멘터리,2015-12-10,3,김철민,1958
롤러코스터 프로덕션,코미디,2012-02-23,2,한지원,1873
와이드릴리즈(주),드라마,2014-05-29,4,맹관표,1831
인디플러그,다큐멘터리,2015-05-14,1,서동일,1827
영희야놀자,다큐멘터리,2013-04-18,1,김혜정,1806
인디스토리,드라마,2013-08-22,4,이돈구,1759
(주) 케이알씨지,드라마,2014-07-09,4,이지형,1697
(주)마운틴픽쳐스,드라마,2010-07-01,4,전수일,1693
(주) 영화사조제,드라마,2012-06-21,2,조성규,1679
(주)마운틴픽쳐스,미스터리,2012-09-06,3,김희정,1637
골든타이드픽처스,공포,2014-01-23,4,하원준,1617
(주)스마일이엔티,드라마,2015-10-22,3,장률,1611
홀리가든,드라마,2015-12-17,4,알버트 신,1599
(주)마운틴픽쳐스,다큐멘터리,2013-07-18,1,박준기,1581
(주)마운틴픽쳐스,코미디,2012-06-07,3,임진순,1575
(주) 케이알씨지,멜로/로맨스,2014-07-23,4,이숭환,1564
(주)마운틴픽쳐스,다큐멘터리,2012-12-06,2,허철,1561
tvN,다큐멘터리,2012-04-19,2,송일곤,1556
(주) 케이알씨지,멜로/로맨스,2014-07-16,4,한소준,1547
서울독립영화제,드라마,2014-10-30,4,최시형,1547
인디스토리,공포,2015-07-30,4,전재홍,1536
드림로드,멜로/로맨스,2014-10-08,4,김봉은,1533
찬란,다큐멘터리,2012-10-18,3,백연아,1526
어뮤즈,공포,2014-02-27,4,정영헌,1523
어썸 피플,느와르,2015-03-05,4,황욱,1504
